app_name,evidence_tier,evidence_note,category,source_url
Proloquo2Go,evidence_based_method,AAC app built on clinical research and motor-planning principles; core words stay fixed to support motor learning,Communication,https://www.speechandlanguagekids.com/aac-apps-review/
LAMP Words For Life,evidence_based_method,Built on Language Acquisition through Motor Planning; research shows it can increase spontaneous communication and receptive language in autism,Communication,https://therapyworks.com/blog/autism/the-most-popular-aac-devices/
TouchChat HD with WordPower,evidence_based_method,Widely used clinically documented AAC app popular with children with autism,Communication,https://paradromics.com/insights/best-aac-devices-speech-plus-emerging-options/
Snap Core First,evidence_based_method,AAC app with visual layout designed to reduce learning curve; runs on consumer and dedicated hardware,Communication,https://paradromics.com/insights/best-aac-devices-speech-plus-emerging-options/
CoughDrop AAC,evidence_based_method,Cloud-based AAC app with cross-device sync; open-source and SLP-recommended,Communication,https://www.speechpathologygraduateprograms.org/blog/top-10-aac-augmentative-and-alternative-communication-devices/
Avaz AAC,evidence_based_method,Core-word based AAC communication app used across AAC device ecosystems,Communication,https://therapyworks.com/blog/autism/the-most-popular-aac-devices/
GoTalk NOW,evidence_based_method,Long-established AAC app used in special education and speech therapy settings,Communication,https://therapyworks.com/blog/autism/the-most-popular-aac-devices/
TalkTablet PRO,evidence_based_method,Multi-language AAC/speech app designed for autism and other speech conditions,Communication,https://towson.libguides.com/speech-language-pathology/aac-apps
SoundingBoard,evidence_based_method,AAC communication board app used in special education for autism spectrum,Communication,https://towson.libguides.com/speech-language-pathology/aac-apps
Grid for iPad,evidence_based_method,AAC vocabulary app compatible across major AAC device ecosystems,Communication,https://therapyworks.com/blog/autism/the-most-popular-aac-devices/
Otsimo,evidence_based_method,Special education app using ABA-informed game design for cognitive and communication skills,Cognitive/Learning,
Autism Therapy with MITA,evidence_based_method,Cognitive and motor skills app citing evidence-based instructional design,Cognitive/Learning,https://www.autism360.com/top-apps-for-autism/
ABA Flash Cards & Games,evidence_based_method,Emotion recognition flashcards based on ABA teaching methods,Social/Emotional,https://www.wizcase.com/blog/best-autism-apps-for-kids/
Endeavor OT,evidence_based_method,Occupational therapy app for fine motor and handwriting skill development,Motor Skills,
Model Me Going Places 2,evidence_based_method,Video-modeling app; video modeling is a recognized evidence-based autism practice,Social/Emotional,https://www.apexaba.com/blog/autism-apps-for-children
Social Stories Creator & Library,evidence_based_method,App built around Social Stories - an established evidence-based autism intervention format,Social/Emotional,
Choiceworks,evidence_based_method,Visual schedule and choice-board app; visual supports are a recognized evidence-based autism practice,Routines/Visual Schedules,
First Then Visual Schedule,evidence_based_method,Visual schedule app used clinically to support routine transitions in autism,Routines/Visual Schedules,
Pictello,evidence_based_method,Visual storytelling app used in speech therapy to build narrative and communication skills,Communication,
Voice4u AAC,evidence_based_method,Picture-based AAC communication app for non-verbal children,Communication,
SpeakEasy: Home Speech Therapy,self_reported,App claims backing from a randomized control trial improving parent-child communication; independent verification not confirmed,Parenting,
Proloquo4Text,evidence_based_method,Text-based AAC app from the makers of Proloquo2Go for literate AAC users,Communication,
Splingo,evidence_based_method,Speech and language app designed with input from speech-language therapists,Communication,
Language Builder,evidence_based_method,App based on structured language intervention methods used in speech therapy,Communication,
Sensory Coach,self_reported,App markets sensory regulation tools; no independent clinical trial confirmed,Sensory Regulation,
